territory, volleyball, partner, sidewalk, trucks, trip, band, digestion, bubble, nest, note, touch, sun, birthday, wealth, hospital, drum
1, 7030119, dirt, 1961111.605469, ~, 25, 0.000000, 0, 1, 1, 1, 9, -3, -107084, fffffd3f436ed025, 0, 0.069855
1, 1, yak, 0.000000, h, 3, 0.000977, 0, 1, 1, 0, 0, 2, 125, 92e8f0a6d2d69d71, 1, 0.000122
0, 248554, edge, 30.001953, &, 28, 1.522461, 0, 0, 1, 0, 4, 1, 0, 46051ba53d07f, 0, 32646.003906
0, -9540, dirt, 37.310547, q, 3, 855717.062500, 0, 0, 0, 1, 394, -2, 1, 938a6072d4fb8619, 0, 26216.152344
1, -12, part, 739779.955078, Q, 194, 0.166992, 0, 1, 0, 0, 1, -45, 3804112, 119c16f, 0, 1.000000
1, 30, sea, 1056632.693359, h, 1, 0.010742, 0, 1, 0, 0, 16, 6, -1748473062, 0, 0, -480.615723
0, 1706899725, shade, -15630.203125, >, 6, 18309.097656, 1, 1, 0, 0, 48997, -5, -60978, 2ef1535b, 0, 0.082367
1, -3, , -1628965.400391, Q, 25, 1.000000, 0, 1, 1, 0, 0, -45, 1, 6940ffa81, 0, -0.000061
1, -1016455692, chair, -0.011719, G, 109, -969419.250000, 1, 1, 1, 0, 582, 109, -1885, 1, 1, -0.000000
1, 1812910845, cattle, 30.001953, &, 7, -80.083984, 0, 1, 0, 0, 1, -3, -78, 62f378f276aed87a, 0, -1.407074
0, 1, rest, -261368.291016, F, 0, -915849.937500, 0, 0, 1, 0, 25, -11, 1921186768, fffffff040de450b, 1, -20994.562500
1, -2053088320, yak, 0.000000, h, 3, 0.000977, 0, 1, 1, 0, 0, 1, -1213, 5f33fbed0ac4b873, 1, 0.000122
1, -92566, chair, -0.011719, G, 109, 1.000000, 1, 1, 1, 1, 282, 109, 1181959793, fffffffffffffe0f, 1, -0.000000
0, 0, edge, 1.000000, &, 8, 1.522461, 1, 0, 1, 0, 4, 58, 0, 46051ba53d07f, 0, 32646.003906
0, 248554, harbor, 1.000000, &, 8, 1.522461, 0, 0, 1, 0, 265, -76, -755, 46051ba53d07f, 0, 32646.003906
0, -1573730049, skate, 1.000000, T, 197, 0.001953, 1, 0, 0, 0, 1, 0, -1419, 36, 0, -19961.771484
1, 1, cover, 739779.955078, Q, 1, 11.701172, 1, 1, 0, 1, 5, 80, 511555, 119c16f, 0, 1.000000
1, 6197566, can, -1640666.855469, >, 1, 634273.625000, 1, 0, 0, 0, 5, -83, 1, 1, 1, 1.000000
1, 7030119, pocket, 1961111.605469, ~, 12, 1.000000, 1, 1, 1, 1, 47758, 1, -1922659938, 1, 0, 3.355072
