territory, volleyball, partner, sidewalk, trucks, trip, band, digestion, bubble, nest, note, touch, sun, birthday, wealth, hospital, drum
0, 1896468, camp, -20723.507812, h, 7, -1.303711, 1, 1, 1, 1, 5258, -110, 158333312, ffffdbd4bd0a54ac, 1, -0.000824
0, 1, mark, 489300.505859, ], 12, 69.760742, 0, 0, 1, 1, 4985, 1, -34227348, fffffffffff9eaa6, 0, 101.449615
1, -584, coast, 0.029297, 9, 80, 557570.375000, 1, 1, 1, 0, 51792, 0, -1, ffffffffffffffff, 0, 0.000092
1, 1229, cent, -0.003906, 7, 1, 369694.406250, 1, 1, 1, 0, 53, -4, -16, 162cccadee8f7f0, 1, 0.020782
0, -327, crowd, -290.615234, H, 5, -0.036133, 1, 0, 0, 0, 709, -6, -317440333, 3201b256, 0, 0.000732
0, 12, border, -0.232422, f, 0, 0.000977, 0, 0, 1, 0, 5, 7, -20822, b57664, 1, -152.753357
1, 658459959, cake, -0.458984, 2, 2, -3015.999023, 1, 1, 1, 0, 0, -1, -199922805, 279884, 0, -2.845001
1, -3, start, 415.130859, /, 0, 3281.789062, 0, 1, 0, 1, 1, -1, -693233752, ffffffffeb5de3ee, 0, -29547.761719
1, -263879308, roof, -42.359375, S, 16, 0.000977, 0, 0, 1, 0, 11600, 12, -16511255, 5f6648713, 0, -4.766388
1, -3, friend, 0.019531, K, 2, -0.002930, 1, 0, 0, 0, 90, -19, -290263159, 870aa4e1d, 0, 0.003235
1, -94973, sock, 2.824219, r, 2, -0.265625, 0, 1, 0, 1, 23, -78, 3035, d7d005fa88ac9, 0, -1.375763
1, -127839, goat, -170814.314453, !, 1, -9927.564453, 0, 1, 1, 1, 2, -2, -14882, 3635, 1, -732.021118
1, 3936, kite, 50.166016, @, 21, -26.927734, 0, 0, 0, 1, 6249, 23, -313, 6ce3b659b936ef, 0, 0.000793
0, -14, wine, 0.011719, =, 13, -3.811523, 1, 1, 1, 1, 53671, -2, 1, fc304cff7d2489f9, 1, 0.002167
0, -60, health, 2726.468750, N, 24, -0.006836, 1, 0, 1, 1, 6002, -7, -3, 2dfa6be83f7, 1, 0.001373
0, -205, record, 15.812500, (, 1, 0.006836, 1, 1, 0, 1, 112, 13, -55713352, ffffffffffe1e722, 0, 0.000153
0, 3, jelly, 0.013672, M, 1, -3.523438, 1, 0, 0, 0, 31545, -48, 1332, fffffffffffffff2, 0, 7104.337891
1, 3, wash, 39028.046875, s, 109, 927.897461, 0, 1, 0, 0, 0, 0, -525, f01a9ad939c4598e, 0, -1.878967
0, -3379911, sister, 321.923828, S, 137, -0.005859, 1, 1, 1, 0, 6708, -11, -58587597, b1e5b9916e2, 1, -0.038513
1, -128050385, health, 12510.576172, V, 1, 3165.739258, 0, 1, 0, 1, 7185, 2, -2, ffffffffffcd4555, 1, 0.000183
0, 0, desire, -22066.378906, c, 2, 0.736328, 1, 0, 1, 0, 614, 38, 11106503, ffffffffffffffcf, 0, -32519.660156
1, 1229, cent, -404963.890625, 7, 12, -0.392578, 0, 1, 1, 0, 7752, -4, -74928, 35df, 0, 0.020782
1, 109415, finger, -53.650391, #, 105, -0.864258, 1, 0, 0, 0, 1, 3, 447970, fffffffffeda6e6c, 0, 0.166107
1, 20, book, 433.896484, ;, 9, 3.312500, 1, 1, 1, 0, 136, -1, 619, 688c793a38f4, 1, -0.406586
1, -1053428923, hands, -1.720703, J, 4, 1021861.312500, 1, 0, 1, 1, 7, -25, 36849043, aa952, 0, 0.000000
0, -153019, market, 458888.792969, X, 1, -1337.860352, 1, 1, 0, 0, 903, -1, 353, 3c, 0, 2.287872
0, -66446, boys, 0.275391, 8, 0, 0.000977, 1, 1, 0, 0, 1205, -6, 1666302, ffffffff878642a8, 1, -0.000031
0, 1157, wax, 3.240234, x, 65, 0.000977, 1, 0, 1, 1, 54, -1, 2, db36e58c96516b, 1, -31278.535156
1, -66649, zipper, -284050.830078, J, 4, 1021861.312500, 1, 1, 1, 1, 25, -25, 34, ffffffffffffffd2, 0, 0.000000
1, -11957, rub, -666431.265625, H, 1, 1.621094, 1, 0, 1, 1, 21, -2, 10055, 501d790c20597, 0, 0.028198
0, 1790579371, houses, -0.103516, G, 94, -7132.650391, 0, 0, 0, 0, 3436, -22, 6946, ffffffffcfd52480, 1, 3.578369
1, -1921990, sponge, -189.751953, M, 43, -55340.003906, 0, 1, 0, 0, 4, -2, -1, fc9d5e7e06, 1, 0.044525
1, -96601718, cherry, -248.632812, K, 3, 552.276367, 1, 0, 0, 0, 14078, -15, -356366, ffed1098cf4b9f2b, 0, -282.374512
0, 26515520, record, 19.681641, (, 1, 0.006836, 0, 1, 0, 1, 32, 13, -55713352, fffffff7e764284c, 1, 0.000153
1, 1125, van, 2.908203, {, 0, -30235.216797, 1, 1, 0, 1, 172, 1, 1784, ff1b8f6f1061249e, 0, -22343.978516
0, -371, kite, -123762.970703, @, 21, -26.927734, 0, 1, 0, 1, 42696, 23, -313, 74ace46f, 0, 0.000793
1, -7998, ghost, -23402.142578, ~, 4, 10905.485352, 0, 1, 0, 0, 11, -2, 12278, ccfedc, 1, 3573.357422
1, -6, marble, -1107.275391, }, 13, 0.352539, 0, 1, 1, 1, 3751, 3, -16, fffffffface9f0e1, 0, -0.097504
0, 76469348, tree, 0.207031, t, 25, 422785.406250, 1, 0, 1, 1, 0, 0, -213028, 6a597f8040a285, 0, 1.000000
1, 5, , 0.083984, #, 199, -0.003906, 1, 0, 1, 0, 18444, -45, 868154553, ffffffffffffc51b, 1, 0.068298
0, -784643, son, 0.000000, :, 12, -0.030273, 0, 1, 1, 1, 0, 9, 1005175, e879ac8434fafd, 1, -0.030792
0, 40023386, cheese, -4777.283203, ), 1, 0.003906, 1, 1, 1, 0, 1, 0, 238846, 3, 0, 0.180145
